"","satisfacao","ultima_avaliacao","volume_projetos","media_horas_mensais","tempo_cia","acidente_trabalho","saiu","promocao_ultimos_5_anos","comercial","salario"
"1",0.38,"0.53",2,"157",3,0,1,0,"comercial","baixo"
"2",NA,"0.86",5,"262",6,0,1,0,"comercial","mediano"
"3",0.11,"0.88",7,"272",4,0,1,0,"comercial","mediano"
"4",0.72,"0.87",5,"223",5,0,1,0,"comercial","baixo"
"5",0.37,"0.52",2,"159",3,0,1,0,"comercial","baixo"
"6",0.41,"0.5",2,"153",3,0,1,0,"comercial","baixo"
"7",0.1,"0.77",6,"247",4,0,1,0,"comercial","baixo"
"8",0.92,"0.85",5,"259",5,0,1,0,"comercial","baixo"
"9",0.89,"1",5,"224",5,0,1,0,"comercial","baixo"
"10",0.42,"0.53",2,"142",3,0,1,0,"comercial","baixo"
"11",0.45,"0.54",2,"135",3,0,1,0,"comercial","baixo"
"12",0.11,"0.81",6,"305",4,0,1,0,"comercial","baixo"
"13",0.84,"0.92",4,"234",5,0,1,0,"comercial","baixo"
"14",0.41,"0.55",2,"148",3,0,1,0,"comercial","baixo"
"15",0.36,"0.56",2,"137",3,0,1,0,"comercial","baixo"
"16",0.38,"0.54",2,"143",3,0,1,0,"comercial","baixo"
"17",0.45,"0.47",2,"160",NA,0,1,0,"comercial","baixo"
"18",0.78,"0.99",4,"255",6,0,1,0,"comercial","baixo"
"19",0.45,"0.51",2,"160",NA,1,1,1,"comercial","baixo"
"20",0.76,"0.89",5,"262",5,0,1,0,"comercial","baixo"
"21",0.11,"0.83",6,"282",4,0,1,0,"comercial","baixo"
"22",0.38,"0.55",2,"147",3,0,1,0,"comercial","baixo"
"23",0.09,"0.95",6,"304",4,0,1,0,"comercial","baixo"
"24",NA,"0.57",2,"139",3,0,1,0,"comercial","baixo"
"25",0.4,"0.53",2,"158",3,0,1,0,"comercial","baixo"
"26",0.89,"0.92",5,"242",5,0,1,0,"comercial","baixo"
"27",0.82,"0.87",4,"239",5,0,1,0,"comercial","baixo"
"28",0.4,"0.49",2,"135",3,0,1,0,"comercial","baixo"
"29",0.41,"0.46",2,"128",3,0,1,0,"contabilidade","baixo"
"30",0.38,"0.5",2,"132",3,0,1,0,"contabilidade","baixo"
"31",0.09,"0.62",6,"294",4,0,1,0,"contabilidade","baixo"
"32",0.45,"0.57",2,"134",3,0,1,0,"RH","baixo"
"33",0.4,"0.51",2,"145",3,0,1,0,"RH","baixo"
"34",0.45,"0.55",2,"140",3,0,1,0,"RH","baixo"
"35",0.84,"0.87",4,"246",NA,0,1,0,"RH","baixo"
"36",0.1,"0.94",6,"255",4,0,1,0,"area tecnica","baixo"
"37",0.38,"0.46",2,"137",3,0,1,0,"area tecnica","baixo"
"38",0.45,"0.5",2,"126",3,0,1,0,"area tecnica","baixo"
"39",0.11,"0.89",6,"306",4,0,1,0,"area tecnica","baixo"
"40",0.41,"0.54",2," ",3,0,1,0,"area tecnica","baixo"
"41",0.87,"0.88",5,"269",5,0,1,0,"area tecnica","baixo"
"42",0.45,"0.48",2,"158",3,0,1,0,"area tecnica","baixo"
"43",0.4,"0.46",2,"127",3,0,1,0,"area tecnica","baixo"
"44",0.1,"0.8",7,"281",4,0,1,0,"area tecnica","baixo"
"45",0.09,"0.89",6,"276",4,0,1,0,"area tecnica","baixo"
"46",0.84,"0.74",3,"182",4,0,1,0,"area tecnica","baixo"
"47",0.4,"0.55",2,"147",3,0,1,0,"suporte","baixo"
"48",NA,"0.7",3," ",6,0,1,0,"suporte","baixo"
"49",0.4,"0.54",2,"148",NA,0,1,0,"suporte","baixo"
"50",0.43,"0.47",2,"147",3,0,1,0,"suporte","baixo"
"51",0.13,"0.78",6,"152",2,0,1,0,"suporte","baixo"
"52",0.44,"0.55",2,"135",3,0,1,0,"suporte","baixo"
"53",0.38,"0.55",2,"134",3,0,1,0,"suporte","baixo"
"54",NA,"0.54",2,"132",NA,0,1,0,"suporte","baixo"
"55",0.1,"0.92",7,"307",4,0,1,0,"suporte","baixo"
"56",0.37,"0.46",2,"140",3,0,1,0,"suporte","baixo"
"57",0.11,"0.94",7,"255",4,0,1,0,"suporte","baixo"
"58",NA,"0.81",6,"309",4,0,1,0,"area tecnica","baixo"
"59",0.38,"0.54",2,"128",3,0,1,0,"area tecnica","baixo"
"60",0.85,"1",4,"225",5,0,1,0,"area tecnica","baixo"
"61",0.85,"0.91",5,"226",5,0,1,0,"gerencia","mediano"
"62",0.11,"0.93",7,"308",4,0,1,0,"TI","mediano"
"63",0.1,"0.95",6,"244",5,0,1,0,"TI","mediano"
"64",0.36,"0.56",2,"132",3,0,1,0,"TI","mediano"
"65",0.11,"0.94",6,"286",4,0,1,0,"TI","mediano"
"66",0.81,"0.7",6,"161",4,0,1,0,"TI","mediano"
"67",0.43,"0.54",2,"153",3,0,1,0,"produtos","mediano"
"68",0.9,"0.98",4,"264",6,0,1,0,"produtos","mediano"
"69",0.76,"0.86",5,"223",5,1,1,0,"produtos","mediano"
"70",0.43,"0.5",2,"135",3,0,1,0,"produtos","mediano"
"71",0.74,"0.99",2,"277",3,0,1,0,"TI","mediano"
"72",0.09,"0.77",5,"275",4,0,1,0,"produtos","mediano"
"73",0.45,"0.49",2,"149",3,0,1,0,"produtos","alto"
"74",0.09,"0.87",7,"295",4,0,1,0,"produtos","baixo"
"75",0.11,"0.97",6,"277",4,0,1,0,"produtos","mediano"
"76",0.11,"0.79",7,"306",4,0,1,0,"produtos","mediano"
"77",0.1,"0.83",6,"295",4,0,1,0,"produtos","mediano"
"78",0.4,"0.54",2,"137",3,0,1,0,"marketing","mediano"
"79",0.43,"0.56",2,"157",3,0,1,0,"comercial","baixo"
"80",0.39,"0.56",2,"142",3,0,1,0,"contabilidade","baixo"
"81",0.45,"0.54",2,"140",3,0,1,0,"suporte","baixo"
"82",0.38,"0.49",2,"151",3,0,1,0,"area tecnica","baixo"
"83",0.79,"0.59",4,"139",3,0,1,1,"gerencia","baixo"
"84",0.84,"0.85",4,"249",6,0,1,0,"marketing","baixo"
"85",0.11,"0.77",6,"291",4,0,1,0,"marketing","baixo"
"86",0.11,"0.87",6,"305",4,0,1,0,"marketing","baixo"
"87",0.17,"0.84",5,"232",3,0,1,0,"comercial","baixo"
"88",0.44,"0.45",2,"132",3,0,1,0,"comercial","baixo"
"89",0.37,"0.57",2,"130",3,0,1,0,"comercial","baixo"
"90",0.1,"0.79",6,"291",4,0,1,0,"comercial","baixo"
"91",0.4,"0.5",2,"130",3,0,1,0,"comercial","baixo"
"92",0.89,"1",5,"246",5,0,1,0,"comercial","baixo"
"93",0.42,"0.48",2,"143",3,0,1,0,"comercial","baixo"
"94",0.46,"0.55",2,"129",3,0,1,0,"comercial","baixo"
"95",0.09,"0.83",6,"255",4,0,1,0,"comercial","baixo"
"96",0.37,"0.51",2,"155",3,0,1,0,"comercial","baixo"
"97",0.1,"0.77",6,"265",4,0,1,0,"comercial","baixo"
"98",0.1,"0.84",6,"279",4,0,1,0,"comercial","baixo"
"99",0.11,"0.97",6,"284",4,0,1,0,"comercial","baixo"
"100",0.9,"1",5,"221",6,0,1,0,"comercial","mediano"
"101",0.38,"0.52",2,"154",NA,0,1,0,"comercial","mediano"
"102",0.36,"0.52",2,"147",3,0,1,0,"comercial","mediano"
"103",0.42,"0.46",2,"150",3,0,1,0,"comercial","mediano"
"104",0.09,"0.94",7,"267",4,0,1,0,"comercial","mediano"
"105",0.43,"0.52",2,"158",3,0,1,0,"comercial","mediano"
"106",0.24,"0.46",7,"224",5,0,1,0,"contabilidade","mediano"
"107",0.91,"1",4," ",5,0,1,0,"contabilidade","mediano"
"108",0.44,"0.5",2,"148",3,0,1,0,"contabilidade","mediano"
"109",NA,"0.87",3,"177",4,0,1,0,"RH","mediano"
"110",0.4,"0.49",2,"155",3,0,1,0,"RH","mediano"
"111",0.43,"0.47",2,"144",3,0,1,0,"RH","mediano"
"112",0.09,"0.85",6,"289",NA,0,1,0,"RH","alto"
"113",0.43,"0.52",2,"160",3,0,1,0,"area tecnica","baixo"
"114",0.9,"0.96",4,"258",5,0,1,0,"area tecnica","mediano"
"115",0.84,"1",5,"234",NA,0,1,0,"area tecnica","mediano"
"116",0.37,"0.48",2,"137",3,0,1,0,"area tecnica","mediano"
"117",0.86,"0.68",5,"263",2,0,1,0,"area tecnica","mediano"
"118",0.11,"0.84",6,"251",4,0,1,0,"area tecnica","baixo"
"119",0.37,"0.57",2,"133",3,0,1,0,"area tecnica","baixo"
"120",0.4,"0.46",2,"132",3,0,1,0,"area tecnica","baixo"
"121",0.14,"0.62",4,"158",4,1,1,0,"area tecnica","baixo"
"122",0.4,"0.46",2,"135",3,0,1,0,"area tecnica","baixo"
"123",0.75,"1",4,"216",6,0,1,0,"area tecnica","baixo"
"124",0.11,"0.84",6,"300",5,1,1,0,"suporte","baixo"
"125",0.46,"0.49",2,"138",3,0,1,0,"suporte","baixo"
"126",0.11,"0.92",6,"260",4,0,1,0,"suporte","baixo"
"127",0.38,"0.49",2,"132",3,0,1,0,"suporte","baixo"
"128",0.7,"0.89",3,"183",5,0,1,0,"suporte","baixo"
"129",0.09,"0.82",6,"250",4,0,1,0,"suporte","baixo"
"130",0.37,"0.45",2,"151",3,0,1,0,"suporte","baixo"
"131",0.1,"0.83",6,"292",NA,0,1,0,"suporte","baixo"
"132",0.38,"0.57",2,"140",3,0,1,0,"suporte","baixo"
"133",0.9,"1",5,"221",5,0,1,0,"suporte","baixo"
"134",0.44,"0.51",2,"138",3,0,1,0,"suporte","baixo"
"135",0.36,"0.5",2,"132",3,0,1,0,"area tecnica","baixo"
"136",0.31,"0.84",7,"133",5,0,1,0,"area tecnica","baixo"
"137",0.1,"0.84",6,"283",4,1,1,0,"area tecnica","baixo"
"138",0.42,"0.48",2,"129",3,0,1,0,"gerencia","baixo"
"139",0.74,"1",4,"249",5,0,1,0,"TI","baixo"
"140",0.73,"0.87",5,"257",5,0,1,0,"TI","baixo"
"141",0.09,"0.96",6,"245",4,0,1,0,"TI","baixo"
"142",0.45,"0.53",2," ",3,0,1,0,"TI","baixo"
"143",0.11,"0.8",6,"256",4,0,1,0,"TI","baixo"
"144",0.37,"0.47",2,"152",3,0,1,0,"produtos","baixo"
"145",0.84,"0.99",4,"267",5,0,1,0,"produtos","baixo"
"146",0.41,"0.46",2,"151",3,0,1,0,"produtos","baixo"
"147",0.76,"0.92",4,"239",5,0,1,0,"produtos","baixo"
"148",0.11,"0.87",6,"306",NA,0,1,0,"TI","baixo"
"149",0.84,"0.88",4,"263",5,1,1,0,"marketing","baixo"
